Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE80898,"shRNA RNA-seq from HepG2 (ENCSR533HXS)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80898/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80899,"shRNA RNA-seq from K562 (ENCSR545AIK)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80899/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80900,"shRNA RNA-seq from K562 (ENCSR546MBH)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80900/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80901,"shRNA RNA-seq from K562 (ENCSR560AYQ)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80901/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80902,"shRNA RNA-seq from K562 (ENCSR561CBC)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80902/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80903,"shRNA RNA-seq from HepG2 (ENCSR572AMC)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80903/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80904,"shRNA RNA-seq from HepG2 (ENCSR576GOW)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80904/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80905,"shRNA RNA-seq from K562 (ENCSR577XBW)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80905/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80906,"shRNA RNA-seq from HepG2 (ENCSR597IYB)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80906/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80907,"shRNA RNA-seq from HepG2 (ENCSR597XHH)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80907/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80908,"shRNA RNA-seq from HepG2 (ENCSR603TCV)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80908/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80909,"shRNA RNA-seq from HepG2 (ENCSR610AEI)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80909/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80910,"shRNA RNA-seq from K562 (ENCSR611ZAL)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80910/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80912,"shRNA RNA-seq from HepG2 (ENCSR622MCX)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80912/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80913,"shRNA RNA-seq from K562 (ENCSR627NVU)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80913/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80914,"shRNA RNA-seq from K562 (ENCSR629EWX)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80914/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80915,"shRNA RNA-seq from HepG2 (ENCSR635FRH)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80915/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80916,"shRNA RNA-seq from HepG2 (ENCSR637JLM)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80916/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80917,"shRNA RNA-seq from K562 (ENCSR648QFY)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80917/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80918,"shRNA RNA-seq from K562 (ENCSR694LKY)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80918/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80919,"shRNA RNA-seq from HepG2 (ENCSR708GKW)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80919/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80920,"shRNA RNA-seq from HepG2 (ENCSR716WZH)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80920/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80921,"shRNA RNA-seq from HepG2 (ENCSR732IYM)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80921/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80922,"shRNA RNA-seq from HepG2 (ENCSR746EKS)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80922/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80923,"shRNA RNA-seq from K562 (ENCSR774BXV)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80923/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80924,"shRNA RNA-seq from HepG2 (ENCSR778AJO)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80924/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80925,"shRNA RNA-seq from K562 (ENCSR780YFF)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80925/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80926,"shRNA RNA-seq from K562 (ENCSR792CBM)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80926/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80927,"shRNA RNA-seq from K562 (ENCSR792XFP)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80927/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80928,"shRNA RNA-seq from K562 (ENCSR831YGP)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80928/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80929,"shRNA RNA-seq from HepG2 (ENCSR840QFR)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80929/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80930,"shRNA RNA-seq from K562 (ENCSR849STR)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80930/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80931,"shRNA RNA-seq from HepG2 (ENCSR850CKU)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80931/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80932,"shRNA RNA-seq from HepG2 (ENCSR853ZJS)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80932/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80933,"shRNA RNA-seq from HepG2 (ENCSR861ENA)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80933/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80934,"shRNA RNA-seq from K562 (ENCSR895BTE)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80934/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80935,"shRNA RNA-seq from K562 (ENCSR904BCZ)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80935/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80936,"shRNA RNA-seq from K562 (ENCSR904CJQ)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80936/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80937,"shRNA RNA-seq from K562 (ENCSR906RHU)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80937/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80938,"shRNA RNA-seq from HepG2 (ENCSR906WTM)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80938/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80939,"shRNA RNA-seq from K562 (ENCSR913CAE)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80939/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80940,"shRNA RNA-seq from HepG2 (ENCSR914WQV)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80940/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80941,"shRNA RNA-seq from K562 (ENCSR916WOI)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80941/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80942,"shRNA RNA-seq from HepG2 (ENCSR927JXU)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80942/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80943,"shRNA RNA-seq from HepG2 (ENCSR939ZRA)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80943/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80944,"shRNA RNA-seq from HepG2 (ENCSR945UYL)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80944/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80945,"shRNA RNA-seq from K562 (ENCSR947OIM)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80945/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80946,"shRNA RNA-seq from K562 (ENCSR952RRH)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80946/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80947,"shRNA RNA-seq from HepG2 (ENCSR957EEG)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80947/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80948,"shRNA RNA-seq from K562 (ENCSR961WVL)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80948/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80949,"shRNA RNA-seq from K562 (ENCSR961YAG)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80949/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80950,"shRNA RNA-seq from HepG2 (ENCSR995ZGJ)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80950/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80951,"shRNA RNA-seq from HepG2 (ENCSR997FOT)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80951/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE80952,"shRNA RNA-seq from HepG2 (ENCSR998RZI)","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80952/suppl",22955616,,"ENCODE DCC","May 26, 2016"
GSE81460,"The RNA-binding profile of Acinus, a peripheral component of the Exon junction complex, reveals its role in splicing regulation","Expression profiling by high throughput sequencing;Other","Homo sapiens",20,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81460/suppl",27365209,SRP075202,"Julie Rodor","May 26, 2016"
GSE81713,"Whole organism lineage tracing by combinatorial and cumulative genome editing","Expression profiling by high throughput sequencing;Genome variation profiling by high throughput sequencing","Danio rerio;Homo sapiens",136,,"JSON;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81713/suppl",27229144,SRP075493,"Jay Shendure","May 26, 2016"
GSE81867,"miRNA-mediated expression switch of cell adhesion genes driven by microcirculation in chip","Expression profiling by high throughput sequencing;Non-coding RNA profiling by array","Homo sapiens;synthetic construct",12,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81867/suppl",,,"Maxim Shkurnikov","May 26, 2016"
GSE69233,"The lncRNA LUST promotes CCICs self-renewal stimulating the wnt/b-catenin signaling activation [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",3,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69233/suppl",27520449,SRP058717,"Martin J. Walsh","May 25, 2016"
GSE69236,"The lncRNA LUST promotes CCICs self-renewal stimulating the wnt/b-catenin signaling activation","Expression profiling by high throughput sequencing;Other","Homo sapiens",7,,,,,,"Martin J. Walsh","May 25, 2016"
GSE81814,"Transcriptome of RA-responsive and RA-resistant breast cancer cell lines","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81814/suppl",27362937,SRP075643,"Cecile Rochette-Egly","May 25, 2016"
GSE70833,"HCT116 MYC 3' TBE1 (WT) and KO RNA-Seq","Expression profiling by high throughput sequencing","Homo sapiens",4,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70833/suppl",,SRP060721,"Yuka Imamura Kawasawa","May 24, 2016"
GSE77901,"RNA-Seq of SLNCR1 over-expression in the melanoma cell line A375","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77901/suppl",27210747,SRP070081,"Carl Novina","May 24, 2016"
GSE77902,"RNA-Seq of siRNA-mediated knockdown of the lncRNA SLNCR1 in WM1976 melanoma cells","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77902/suppl",27210747,SRP070082,"Carl Novina","May 24, 2016"
GSE81791,"Regulation of DNA methylation landscape in human somatic cell reprogramming by miR-29 family (RNA-seq)","Expression profiling by high throughput sequencing","Homo sapiens",20,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81791/suppl",27373925,SRP075578,"Eriona Hysolli","May 24, 2016"
GSE81794,"Regulation of DNA methylation landscape in human somatic cell reprogramming by miR-29 family","Expression profiling by high throughput sequencing;Methylation profiling by array;Methylation profiling by high throughput sequencing","Homo sapiens",50,,"IDAT;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81794/suppl",27373925,,"Eriona Hysolli","May 24, 2016"
GSE69420,"Finding missing proteins from epigenetically manipulated human cells","Expression profiling by high throughput sequencing","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69420/suppl",26202631,SRP058916,"Gong Zhang","May 23, 2016"
GSE75949,"RNA-seq analysis of the human fetal kidney.","Expression profiling by high throughput sequencing","Homo sapiens",10,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75949/suppl",,SRP067289,"GUDMAP Developers","May 23, 2016"
GSE79343,"RNA-seq analysis of growth factor response of NHEKs to antimicrobial petide LL-37 and dsRNA mimic Poly(I:C)","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79343/suppl",27048655,SRP071939,"Christopher Adase","May 23, 2016"
GSE80048,"Histone deacetylase inhibition enhances antimicrobial peptide but not inflammatory cytokine expression upon bacterial challenge","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80048/suppl",27162363,SRP072999,"Brice Sperandio","May 23, 2016"
GSE59093,"DDX3X regulation of global translation is impaired by medulloblastoma-associated mutations [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59093/suppl",27180681,SRP044062,"Yong-Dong Wang","May 20, 2016"
GSE59095,"DDX3X regulation of global translation is impaired by medulloblastoma-associated mutations [RiboSeq]","Other;Expression profiling by high throughput sequencing","Homo sapiens",3,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59095/suppl",27180681,SRP044064,"Yong-Dong Wang","May 20, 2016"
GSE59096,"DDX3X regulation of global translation is impaired by medulloblastoma-associated mutations","Expression profiling by high throughput sequencing;Other","Homo sapiens",14,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59096/suppl",27180681,,"Yong-Dong Wang","May 20, 2016"
GSE77903,"RNA-Seq of over-expression and knockdown of the lncRNA SLNCR1 in melanoma cells","Expression profiling by high throughput sequencing","Homo sapiens",12,,,,27210747,,"Carl Novina","May 20, 2016"
GSE81548,"Capturing the dynamic nascent transcriptome during acute cellular responses: the serum response","Expression profiling by high throughput sequencing","Homo sapiens",5,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81548/suppl",27230646,SRP075315,"Mats Ljungman","May 20, 2016"
GSE75215,"RNA deep sequencing to compare genome-wide differences between PRMT5/knockdown and control AML cells","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75215/suppl",,SRP066444,"Xiwei Wu","May 19, 2016"
GSE81485,"An extensive program of periodic alternative splicing linked to cell cycle progression","Expression profiling by high throughput sequencing","Homo sapiens",22,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81485/suppl",27015110,SRP075278,"Zefeng Wang","May 19, 2016"
GSE81579,"Transcriptome analysis of human cumulus cells reveals hypoxia as the main determinant of follicular senescence.","Expression profiling by high throughput sequencing","Homo sapiens",20,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81579/suppl",27268410,SRP075354,"Pasquale Patrizio","May 19, 2016"
GSE69637,"RNA-seq identifies novel lncRNAs involved in vascular smooth muscle cell proliferation","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Homo sapiens",16,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69637/suppl",27052414,SRP059217,"Rachel Dakin","May 18, 2016"
GSE79338,"The Glioma-Infiltrating T Cell Receptor Repertoire","Expression profiling by high throughput sequencing;Other","Homo sapiens",75,,"TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79338/suppl",27261081,SRP071932,"Peter A Sims","May 18, 2016"
GSE76151,"Transcriptome profiling of hnRNP A2/B1 and A1 depleted cells","Expression profiling by high throughput sequencing","Homo sapiens",10,,"DIFF","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76151/suppl",27151978,SRP067568,"Andrew Grimson","May 17, 2016"
GSE72534,"Modeling genome-wide transcriptional cis-regulation in n LNCaP-abl cell line after siRNA knock down of a series of gene factors [RNA-seq]","Expression profiling by high throughput sequencing","Homo sapiens",15,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72534/suppl",27466232,SRP063003,"Chongzhi Zang","May 16, 2016"
GSE76682,"RNA-seq expression data from EB-HSPC after AM580 treatment compated to DMSO-trated and FL-HSPCs","Expression profiling by high throughput sequencing","Homo sapiens",14,,"BW;DIFF","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76682/suppl",27183470,SRP068279,"Hanna Katri Annikki Mikkola","May 16, 2016"
GSE76683,"RNA-seq expression data from FL-HSPCs after HOXA7 knockdown","Expression profiling by high throughput sequencing","Homo sapiens",8,,"DIFF","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76683/suppl",27183470,SRP068278,"Hanna Katri Annikki Mikkola","May 16, 2016"
GSE76684,"RNA-seq expression data from EB-HSPCs after HOXA7 overexpression","Expression profiling by high throughput sequencing","Homo sapiens",2,,"BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76684/suppl",27183470,SRP068281,"Hanna Katri Annikki Mikkola","May 16, 2016"
GSE76685,"Medial HOXA gene expression is a landmark for the definitive haematopoietic fate and a prerequisite for human HSC function","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",42,,"BW;CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76685/suppl",27183470,,"Hanna Katri Annikki Mikkola","May 16, 2016"
GSE80525,"Transcriptional response to the HSP70 inhibitor MAL3-101 in parental rhabdomyosarcoma cells and isogenic acquired-resistance lines.","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80525/suppl",27450084,SRP073662,"Amit J Sabnis","May 15, 2016"
GSE81443,"Plasma cell mitochondrial pyruvate import controls the duration of humoral immunity.","Expression profiling by high throughput sequencing","Homo sapiens",12,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81443/suppl",27396958,SRP075118,"Deepta Bhattacharya","May 14, 2016"
GSE69291,"H3K36 mutations promote sarcomagenesis through genome-wide remodeling of H3K36 and H3K27 methylation","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Drosophila melanogaster;Homo sapiens;Mus musculus",69,,,,27174990,,"Peter W Lewis","May 13, 2016"
GSE71318,"Tracing the expression of circular RNAs in human preimplantation embryos","Expression profiling by high throughput sequencing","Homo sapiens",48,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71318/suppl",27315811,SRP061636,"yujiao dang","May 13, 2016"
GSE74927,"Subtypes of HPV-positive head and neck cancers are associated with HPV characteristics, copy number variations, PIK3CA mutation, and pathway signatures. [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",36,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74927/suppl",27091409,SRP066090,"Maureen Sartor","May 13, 2016"
GSE74956,"Subtypes of HPV-positive head and neck cancers are associated with HPV characteristics, copy number variations, PIK3CA mutation, and pathway signatures.","Expression profiling by high throughput sequencing;SNP genotyping by SNP array;Genome variation profiling by SNP array","Homo sapiens",108,,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74956/suppl",27091409,,"Maureen Sartor","May 13, 2016"
GSE75823,"Sequencing Universal Human Reference RNA by Smart-seq and early barcoding library preparation methods","Expression profiling by high throughput sequencing","Homo sapiens",11,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75823/suppl",27156886,SRP067154,"Swati Parekh","May 13, 2016"
